Questions ,Answers
 What is Admission Requirements or acceptance Requirements or approval Requirements or consent Requirements?,The program receives students who have a high school certificate in scientific department (science - mathematics) according to the organized rules.Students from the Science department must pass the "Math 2" course within the specified period.
What is Transfer Requirements or convey Requirements or transport Requirements or shift Requirements or Transfer To Future Academy Requirements ?,The institute allows transfers to the program from students of the equivalent institutes and colleges. Admission requires a scientific equivalency for courses and requires non-transfer in the final year for students with a score of 75% or more. 
What is Requirements for transferring between study programs or convey Requirements between study programs or transport Requirements between study programs or shift Requirementsbetween study programs ?,The student is allowed to transfer between study programs with a scientific equivalency of courses. Transfer is allowed twice during the period of his study at the Institute with respecting the general rules of transfer. 
what is Specializations and degree or expertise and degree or specialist and degree ?,The graduate of the program is given a bachelor's degree in the field of computer science. Variety in the licensed specializations of the institute. 
What is Language of study ? ,The language of study in the program is English or Arabic. The exam must be in the same language as instruction. 
What is Academic Advisor Role or educational mentor Role or Academic mentor Role or educational  Advisor Role ? ,The Institute assigns each student an academic advisor to assist him in his academic choices. It is preferable for the advisor to stay with the student until his graduation.
What is Studying courses online or Studying track online ?,Some courses are allowed to be taught online in specific conditions.The final exam is held within the institute and follows the organizing instructions.
 What is List of courses and students that enroll in those courses or List of courses and students that register in those courses or List of courses and students that enrollment in those courses ?,"Before the beginning of any semester, the Institute announces the list of courses and opens the door for registration. ? The Board of Directors of the Institute determines the minimum and maximum number of students in each course according to the capabilities of the Institute. The student enrolls in the courses of his choice in coordination with the academic advisor as long as they are available."
 How Can Deleting and adding courses or remove and build on course or  take off and include courses ?,The student can delete or add courses after completing the registration procedures. This is allowed within two weeks of the beginning of the study without academic or financial commitments. 
What is Suspension of student enrollment or adjournment of student enrollmen or postponement of student enrollment ?," The Institute's Board of Directors has the right to suspend a student's enrollment for one or more semesters (up to a maximum of 4 semesters) in the case of an acceptable excuse. A student who does not attend registration within the first two weeks of the semester, does not apply for enrollment suspension, and does not provide an acceptable excuse approved by the Institute's Board of Directors, is deprived of registration for that semester and receives an ""Academic Warning."
What The Letter of my GPA ? ,"0 = F ,1 : 1.4 = D-,1.5:1.9=D , 2:2.1=D+ , 2.2:2.3=C- , 2.4:2.5= C ,2.6:2.7=C+, 2.8:2.9=B-, 3:3.1 =B , 3.2:3.3=B+ , 3.4:3.6=A- , 3.7:3.9= A , 4 = A+"
How can Calculation of Course Points ?,course points for a student are obtained by multiplying the credit hours of the Course by the numeric grade achieved by the student
how can Calculation of Semester GPA ?,Semester GPA is calculated by dividing the total Course points the student earned in the Semester by the total credit hours of those courses.
how can cumulative GPA or accumulative GPA?,Cumulative GPA is calculated by dividing the total course points the student earned up to the current date by the total credit hours of those courses. 
what is Course Registration or Course recording or Course enrollment ?,"The maximum credit hours a student can register for each semester are nine (9) hours. Exceeding this limit requires approval from the Institute's Board of Directors in exceptional cases, such as graduation"
 what is Maximum Approved Credit Hours or  Maximum confirmed Credit Hours?,Linked to the cumulative GPA: Cumulative GPA 3 or above: 21 hours. Cumulative GPA 2 - less than 3: 18 hours. Cumulative GPA 1 - less than 2: 15 hours. Cumulative GPA less than 1: 12 hours. New program entrants: 21 hours in the first semester
what is  the summer semester?,Cumulative GPA 3 or above: 9 hours. Cumulative GPA less than 3: 6 hours. 
how can make Course Withdrawal?," A student may withdraw from a course or more until the end of the seventh week from the start of the semester, provided that the student's registered credit hours do not fall below the minimum registration requirement (Article 13). In this case, the student's status in the records is ""W,"" indicating withdrawal, without affecting the cumulative GPA. "
 what is the Types of Program Courses or category of Program Courses?," Compulsory (mandatory) or (elective). ? A course may be either compulsory or elective. A prerequisite course must be passed before registering for another course. The prerequisite must be a mandatory course within the same program, and its code must be lower than the code of the course. "
 what is the Exceeding Basic Credit Hours or exceptional Basic Credit Hours?,"The Institute's Board of Directors, with the approval of the department council and program director, may allow a student to exceed the requirement of passing the prerequisite course to register for another course. The student must not register for the prerequisite and its requirement in the same semester, except in exceptional circumstances, such as graduation. A student who fails in any course can study the course and its prerequisite in the same semester."
 what is the Exam Attendance Disqualification or Exam Attendance dismissal or Exam Attendance expulsion?,"If a student is absent from the final exam, they are considered to have failed the course. If the student provides a valid excuse within two days (excluding the exam day), accepted bthe Institute's Board, their status in the records becomes ""Incomplete (I)"" for that course without affecting their cumulative GPA. A student who has attended at least 75% of lectures and exercises for the course and is disqualified from taking the final exam is considered to have failed. In this case, the student is considered failed unless they provide an acceptable excuse, approved by the Institute's Board, and their status in the records becomes ""Incomplete (I)"" for that course without affecting their cumulative GPA. "
"How Can Repeating the Same Course Multiple Times , How Improve The GPA ? 
","If the repetition is a result of failure, the student is granted the grade they obtained in the last repetition, not exceeding the maximum grade of B+ in the first repetition, C+ in the second repetition, and D+ in any subsequent repetition. If the repetition is for the purpose of improvement, the student is given the grade they obtained in the last repetition as is. If that grade falls into the ""Fail (F)"" category and the student repeats it in the second repetition, the above item is applicable."
When I Get Academic warnings and dismissal or Academic warnings and disconnect ?," The student receives an academic warning when his GPA drops below 2.0, and is dismissed if he receives 4 consecutive warnings or 6 sperated warnings. In case of dismissal for any reason and with a progress rate of 80% of the hours required for graduation, he is given a last chance for two semesters if the student does not meet the graduation requirements, he will be permanently dismissed from the institute."
What Is Summer Training Rolls ?,"After completing 30 credit hours, each student undertakes a summer training (internal or external) after 120 hours distributed over four weeks at least , and the examination board determines the student's status as ""passed"" or ""did not pass"" or assigned him a compensatory project.
"
What Is Rolls Of Graduation Project ?,"At the end of his/her studies, the student submits a graduation project after completing 70% of the required hours. The project is enrolled as two consecutive courses, and it is implemented no less than 4 weeks after the end of the exams. 
 "
What is Requirements for obtaining a bachelor's degree or Requirements for gain a bachelor's degree or Requirements for achieve a bachelor's degree or Requirements for acquire a bachelor's degree ?," The student is given the bachelor's degree after completion of 134 credit hours. There are two requirements : First requirement: GPA is not less than 2.0 
Second requirement : not to violate rule No. (14) throughout the duration of the study. Not completing one of the two requirements will result in the student not obtaining the grade. "
what is  Non-humanities courses ?,All non-humanities courses consist of 3 credit hours (two hours for lectures and two hours for practical or exercises). 
what is  Humanities courses ?,All humanities courses consist of 2 credit hours (two hours for lectures).
what is  Exam time?,The exam time for all courses is two hours. 
what is  The final grade of Courses,The final grade of all courses is 100 marks (60 for the final exam and 40 for semester work). 
What is the study system and course distribution for the Computer Science Department?,"Study at the Academy is based on the credit hour system, The academic year is divided into two semesters in addition to a summer semester,The credit hour is the measure of every academic subject "
 What are the requirements To obtain a bachelor's degree in computer science? or what are  Requirements for gain a bachelor's degree ? or what are Requirements for achieve a bachelor's degree ? or what are Requirements for acquire a bachelor's degree ?,"
 The student must successfully pass 134 (one hundred and thirty-four) credit hours. The hundred and thirty-four hours are divided between Mandatory or elective requirements, whether university or major. 
 
Courses 
To obtain a bachelor's degree in computer science, 134 Credit hours studies are required distributed as follows 
A- General requirements (14) credit hours:   (6) Mandatory credit hours  (8)Credit Hours chosen by the student from among the elective courses  
B- Department requirements (63) credit hours: It is divided into two parts 
 Mathematics and basic sciences (statistics and physics and electronics) (24) Mandatory credit hours. Basic Computer Science (39) Mandatory credit hours.
C- Major requirements (57) credit hours: 
Applied Sciences (39) Mandatory credit hours )12( Credit hours chosen by the student from among the elective courses in the same major, or he can choose a maximum of 6 hours from Mandatory or elective courses from any other major. 
 (6) Credit hours Graduation Project  "
" What is Code system rules for courses ?
","A-The code for any course consists of the code for the department or specialization major to which the course belongs, followed by a three-digit number Its details are as follows:
• The leftmost number represents the academic level  • The number in the tens place represents the exact specialization major of the course within the general specialization of the department  • The single number is used to distinguish specialization courses taught at the same academic level . - ID courses or course Example CSC 123: CSC: It represents the code of the department or specialization major , to which the course is follows 1:Represents the level number   2: Represents the exact number  3:Represents the course number 
 B- The code system for the department or major: • Computer Science code = CSC  • BSC Mathematics and basic sciences such as statistics, physics, etc.,  • Humanities 
 C- - Academic level codes : • First level = 1 • Secend level = 2 • Third level = 3 • Fourth level = 4 
D-Subspecialty major codes, ID: code
1-Codes for humanities majors 
Busic Humanities code 0 
Languages code 1 
Social Sciences code 2 
Business , Management and economics code 3 
Legal and law 4 
General subjects 5 
 
2-Mathematics and basic sciences major codes   
Mathematics code 0  
Statistics code 1 
Physics code 2 
Electronics code 3 
General Subjects code 4 
 
3-Codes for computer science sub-majors 
Discrete Structures code 0  
Computational Science code 0 
Algorithms and Complexity code 1 
Architecture and Organization code 2 
Operating Systems code 2 
Networking code 3 
Programming languages code 4 
Graphics and visual Computing code 5 
Intelligent Systems code 6 
Computer Security code 7 
Digital Forensics code 8        
Software Engineering code 9  
 
 
 
"
"What Is Courses that have 2 Credit hours ?
","*english1

*human rights and the fight against corruption

*technical writing

*communication and presentation skills

*marketing and sales 

*organizational behavior 

*history of computing 

*professional ethics 

*English2 

*business administration 

*fundamentals of economics.
 "
What Is Courses that have 3 Credit hours ? ,"*calculus 

*discrete mathematics 

*Physics 

*Electronics 

*linear algebra 

*differential equations and transformation 

*probability and statistics and statistical analysis 

*numerical computing 

*computer science fundamentals 

*structured programming 

*object oriented programming 

*data structures 

*logic design 

*introduction to information systems  

*system analysis and design 1

*design and analysis of algorithms

*computer architecture 

*introduction to computer networks 

*operating systems 

*Databases1 

*software engineering 1

*microprocessors and assembly language 

*artificial intelligence 

*neural networks 

*information storage and management 

*computer graphics 

*advanced computer networks 

*computer security 

*image processing 

*cloud computing 

*machine learning 

*computer vision 

*Compilers 

*internet of things 

*project 1 

*Project2 

*virtual and augmented reality 

*human-computer interaction 

*computer animation 

*game design and development 

*Multimedia 

*deep learning 

*natural language processing 

*data science 

*knowledge representation 

*digital signal processing

*introduction to embedded systems 

*Robotics 

*logic programming 

*parallel programming 

*web programming 

*mobile application development

*distributed computing 

*software project management 

*open source system development 

*selected topics in computer science1 

*selected topics in computer science2"
what is the Frist level or first grade or first year 1st semester or 1st term,"1.English 1: two theoretical hr. ,two hr. For final exam.

2.Calculus: two theoretical hr. ,two exercise  hr. ,two hr. ,For final exam.

3.Physics: two theoretical hr. ,two practical  hr. ,two hr. For final exam.

4.Computer science fundamental: three practical  hr. ,two exercise hr. ,two hr. For final exam.

5.Structured programming: three practical  hr. ,two theoretical hr. ,two hr. For final exam.

6.Humanities 1: two theoretical hr. ,two hr. For final exam."
what is the Frist level or first grade or first year 2nd semester or 2nd term,"1.Technical writing: two theoretical hr. ,two hr. For final exam.

2.Electronics: two theoretical hr. ,two exercise  hr. ,two hr. For final exam.

3.Discrete mathematics: two theoretical hr. ,two exercise  hr. ,two hr. For final exam.

4.Human rights and the fight against corruption: two theoretical hr. ,two hr. For final exam.

5.Object oriented programming: three practical  hr. ,two theoretical hr. ,two hr. For final exam.

6.Humanities 2: two theoretical hr. ,one exercise  hr. ,two hr. For final exam."
what is the Second level or second grade or second year 1st semester or 1st term,"1.Introduction to information systems: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

2.Data structures: two theoretical hr. ,two practical  hr. ,two For final exam. 

3.Probability and statistics and statistical analysis: two theoretical hr. ,two exercise  hr. ,two hr. For final exam.

4.Logic design: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

5.Linear algebra: two theoretical hr. ,two exercise  hr. ,two hr. For final exam 

6.Database1: two theoretical hr. ,two practical  hr. ,two hr. For final exam. "
what is the Second level or second grade or second year 2nd semester or 2nd term,"1.System Analysis and design1: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

2.Introduction to computer networks: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

3.Design and analysis of algorithms: two, theoretical hr. ,two practical  hr. ,two hr. For final exam. 

4.Differential equations and transformation: two theoretical hr. ,two exercise  hr. ,two hr. For final exam. 

5.Computer Architecture: two theoretical hr. ,two exercise  hr. ,one practical  hr. ,two hr. For final exam. "
what is the Third level or third grade or third year 1st semester or 1st term,"1.Operating Systems: two theoretical hr. ,two practical  hr. ,two hr. For final exam.

2.Numerical computing: two theoretical hr. ,two exercise  hr. ,two hr. For final exam. 

3.Artificial intelligence: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

4.Software Engineering 1: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

5.Microprocessor and assembly language: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

6.Elective subject 1: two theoretical hr. ,two practical  hr. ,two hr. For final exam. "
what is the Third level or third grade or third year 2nd semester or 2nd term,"1.Advanced computer network: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

2.Information storage and management: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

3.Neural network: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

4.Computer security: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

5.Computer graphics: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

6.Elective subject 2: two theoretical hr. ,two practical  hr. ,two hr. For final exam. "
what is the Fourth level or fourth grade or fourth year 1st semester or 1st term,"1.Image processing: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

2.Cloud computing: two theoretical hr. ,two practical  hr. ,two hr. For final exam.

3.Machine learning: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

4.Elective subject 3: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

5.Humanities 3: two theoretical hr. ,one exercise hr. ,two hr. For final exam. 

6.Graduation Project 1. 
"
what is the Fourth level or fourth grade or fourth year 2nd semester or 2nd term,"
1.Computer Vision: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

2.Internet of things: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

3.Compliers: two theoretical hr. ,two practical  hr. ,two hr. For final exam. 

4.elective subject 4: two theoretical hr. ,two practical  hr. ,two hr. For final exam.
 
5.Humanities 4: two theoretical hr. ,one exercise hr. ,two hr. For final exam.
 
6.Graduation Project 2 
"
 what is the Prerequisite and code  English (1),"The course “English (1)” with the code “HUM111” and Two credit hours and doesn’t have any prerequisite.
"
what is the Prerequisite and code Human rights and the fight against corruption?,"The course “Human rights and the fight against corruption” with the code “HUM141” and Two credit hours and doesn’t have any prerequisite.
"
 what is the code and Prerequisite Technical writing?,"The course “Technical writing” with the code “HUM112” and Two credit hours , It has a prerequisite : “English (1)” with the code “HUM111” and Two credit hours.
"
what is the code and Prerequisite Calculus?,The course “Calculus” with the code “BSC101” and Three credit hours and doesn’t have any prerequisite.
what is the code and Prerequisite Discrete mathematics?,"The course “Discrete mathematics” with the code “BSC102” and Three credit hours , It has a prerequisite : “Calculus” with the code “BSC101” and Three credit hours.

"
what is the code and Prerequisite Physics?,"The course “Physics” with the code “BSC121” and Three credit hours and doesn’t have any prerequisite.
"
what is the code and Prerequisite Electronics?,"The course “Electronics” with the code “BSC131” and Three credit hours , It has a prerequisite : “Physics” with the code “BSC121” and Three credit hours.

"
 what is the code and Prerequisite Linear algebra?,"The course “Linear algebra” with the code “BSC203” and Three credit hours and doesn’t have any prerequisite.
"
what is the code and Prerequisite Differential equations and transformation ?,"The course “Differential equations and transformation” with the code “BSC204” and Three credit hours , It has a prerequisite : “Calculus” with the code “BSC101” and Three credit hours.
"
 what is the code and Prerequisite Probability and statistics and statistical analysis?,"The course “Probability and statistics and statistical analysis” with the code “BSC212” and Three credit hours and doesn’t have any prerequisite.

"
what is the code and Prerequisite Numerical computing?,"The course “Numerical computing” with the code “BSC305” and Three credit hours and doesn’t have any prerequisite.

"
what is the code and Prerequisite Computer science fundamentals?,"The course “Computer science fundamentals” with the code “CSC101” and Three credit hours and doesn’t have any prerequisite.

"
what is the code and Prerequisite Structured programming?,The course “Structured programming” with the code “CSC141” and Three credit hours and doesn’t have any prerequisite.
what is the code and Prerequisite Object oriented programming?,"The course “Object oriented programming” with the code “CSC142” and Three credit hours , It has a prerequisite : “Structured programming” with the code “CSC141” and Three credit hours.
"
what is the prerequisite and code Data structures?,"The course “Data structures” with the code “CSC211” and Three credit hours , It has a prerequisite : “Structured programming” with the code “CSC141” and Three credit hours.
"
what is the prerequisite and code Logic design?,"The course “Logic design” with the code “CSC221” and Three credit hours , It has a prerequisite : “Electronics” with the code “BSC131” and Three credit hours.
"
 what is the prerequisite and code Introduction to information system?,"The course “Introduction to information system” with the code “CSC201” and Three credit hours , It has a prerequisite : “Computer science fundamental” with the code “CSC101” and Three credit hours."
 what is the prerequisite and code Introduction to System analysis and design (1)?,"The course “System analysis and design (1)” with the code “CSC232” and Three credit hours , It has a prerequisite : “Computer science fundamental” with the code “CSC101” and Three credit hours.
"
what is the prerequisite and code Introduction to Design and analysis of algorithms?,"The course “Design and analysis of algorithms” with the code “CSC213” and Three credit hours , It has a prerequisite : “Data structures” with the code “CSC211” and Three credit hours.
"
"what is the prerequisite and code Introduction to Computer architecture?
","The course “Computer architecture” with the code “CSC222” and Three credit hours , It has a prerequisite : “Logic design” with the code “CSC221” and Three credit hours.
"
" what is the prerequisite and code  to Introduction to computer networks?
","The course “Introduction to computer networks” with the code “CSC231” and Three credit hours , It has a prerequisite : “Computer science fundamental” with the code “CSC101” and Three credit hours.
"
"what is the prerequisite and code  to Operating systems?
","The course “Operating systems” with the code “CSC323” and Three credit hours , It has a prerequisite : “Computer science fundamental” with the code “CSC101” and Three credit hours."
what is the prerequisite and code Introduction to Databases (1)?,"he course “Databases (1)” with the code “CSC241” and Three credit hours , It has a prerequisite : “Computer science fundamental” with the code “CSC101” and Three credit hours."
"what is the prerequisite and code to Software engineering (1)?
","The course “Software engineering (1)” with the code “CSC391” and Three credit hours , It has a prerequisite : “Design and analysis of algorithms” with the code “CSC213” and Three credit hours."
what is the prerequisite and code to Microprocessor and assembly language?,"The course “Microprocessor and assembly language” with the code “CSC324” and Three credit hours , It has a prerequisite : “Computer architecture” with the code “CSC222” and Three credit hours"
what is the prerequisite and code to Artificial intelligence?,"The course “Artificial intelligence” with the code “CSC301” and Three credit hours , It has a prerequisite : “Probability and statistics and statistical analysis” with the code “BSC212” and Three credit hours."
 what is the prerequisite and code to Neural networks?,"The course “Neural networks” with the code “CSC341” and Three credit hours , It has a prerequisite : “Artificial intelligence” with the code “CSC301” and Three credit hours.

"
what is the prerequisite and code to Information storage and management?,"The course “Information storage and management” with the code “CSC312” and Three credit hours , It has a prerequisite : “Introduction to computer networks” with the code “CSC231” and Three credit hours."
 what is the prerequisite and code to Computer graphics?,"The course “Computer graphics” with the code “CSC351” and Three credit hours , It has a prerequisite : “Structured programming” with the code “CSC141” and Three credit hours.

"
what is the prerequisite and code to Advanced computer networks?,"The course “Advanced computer networks” with the code “CSC332” and Three credit hours , It has a prerequisite : “Introduction to computer networks” with the code “CSC231” and Three credit hours."
what is the  prerequisite and code Computer security,"The course “Computer security” with the code “CSC371” and Three credit hours , It has a prerequisite : “Design and analysis of algorithms” with the code “CSC213” and Three credit hours.
"
what is the  prerequisite and code Image processing?,"The course “Image processing” with the code “CSC452” and Three credit hours , It has a prerequisite : “Linear algebra” with the code “BSC203” and Three credit hours.

"
what is the  prerequisite and code Machine learning?,"The course “Machine learning” with the code “CSC411” and Three credit hours , It has a prerequisite : “Artificial intelligence” with the code “CSC301” and Three credit hours.

"
what is the  prerequisite and code Computer vision?,"The course “Computer vision” with the code “CSC453” and Three credit hours , It has a prerequisite : “Linear algebra” with the code “BSC203” and Three credit hours.

"
what is the  prerequisite and code Compilers?,"The course “Compilers” with the code “CSC443” and Three credit hours , It has a prerequisite : “Design and analysis of algorithms” with the code “CSC213” and Three credit hours.

"
what is the  prerequisite and code Internet of things?,"The course “Internet of things” with the code “CSC434” and Three credit hours , It has a prerequisite : “Structured programming” with the code “CSC141” and Three credit hours.

"
what is the  prerequisite and code Project (1)?,"The course “Project (1)” with the code “CSC498” and Three credit hours and doesn’t have any prerequisite.

"
what is the  prerequisite and code Project (2)?,"The course “Project (2)” with the code “CSC499” and Three credit hours and doesn’t have any prerequisite.



"
what is the  prerequisite and code Communication and presentation skills?,"The course “Communication and presentation skills” with the code “HUN113” and Two credit hours and doesn’t have any prerequisite.

"
what is the  prerequisite and code Marketing and sales?,"The course “Marketing and sales” with the code “HUN131” and Two credit hours and doesn’t have any prerequisite.
"
what is the  prerequisite and code Organizational behavior?,"The course “Organizational behavior” with the code “HUN121” and Two credit hours and doesn’t have any prerequisite.

"
what is the  prerequisite and code History of computing?,"The course “History of computing” with the code “HUN151” and Two credit hours and doesn’t have any prerequisite.

"
what is the  prerequisite and code Professional ethics?,"The course “Professional ethics” with the code “HUN113” and Two credit hours and doesn’t have any prerequisite.

"
what is the  prerequisite and code English (2)?,"The course “English (2)” with the code “HUM114” and Two credit hours , It has a prerequisite : “English (1)” with the code “HUM111” and Two credit hours.
"
what is the  prerequisite and code Business administration?,"The course “Business administration” with the code “HUN132” and Two credit hours and doesn’t have any prerequisite.

"
what is the  prerequisite and code Fundamentals of economics?,"The course “Fundamentals of economics” with the code “HUN133” and Two credit hours and doesn’t have any prerequisite.

"
what is the  prerequisite and code Virtual and augmented reality?,"The course “Virtual and augmented reality” with the code “CSC454” and Three credit hours , It has a prerequisite : “Computer graphics” with the code “CSC351” and Three credit hours.
"
what is the  prerequisite and code Human-computer interaction?,"The course “Human-computer interaction” with the code “CSC455” and Three credit hours , It has a prerequisite : “Design and analysis of algorithms” with the code “CSC213” and Three credit hours.

"
what is the  prerequisite and code Computer animation?,"The course “Computer animation” with the code “CSC456” and Three credit hours , It has a prerequisite : “Computer graphics” with the code “CSC351” and Three credit hours.

"
what is the  prerequisite and code Game design and development?,"The course “Game design and development” with the code “CSC457” and Three credit hours , It has a prerequisite : “Design and analysis of algorithms” with the code “CSC213” and Three credit hours.

"
what is the  prerequisite and code Multimedia?,"The course “Multimedia” with the code “CSC458” and Three credit hours , It has a prerequisite : “Computer science fundamental” with the code “CSC101” and Three credit hours.

"
what is the  prerequisite and code Deep learning?,"The course “Deep learning” with the code “CSC342” and Three credit hours , It has a prerequisite : “Neural networks” with the code “CSC341” and Three credit hours.

"
what is the  prerequisite and code Natural language processing?,"The course “Natural language processing” with the code “CSC352” and Three credit hours , It has a prerequisite : “Artificial intelligence” with the code “CSC301” and Three credit hours.
"
what is the  prerequisite and code Data science ?,"The course “Data science” with the code “CSC461” and Three credit hours , It has a prerequisite : “Data structures” with the code “CSC211” and Three credit hours.
"
what is the  prerequisite and code Knowledge representation ?,"The course “Knowledge representation” with the code “CSC325” and Three credit hours , It has a prerequisite : “Artificial intelligence” with the code “CSC301” and Three credit hours.
"
what is the  prerequisite and code Digital signal processing ?,"The course “Digital signal processing” with the code “CSC325” and Three credit hours , It has a prerequisite : “Differential equations and transformation” with the code “BSC204” and Three credit hours.

"
what is the  prerequisite and code Introduction to embedded systems?,"The course “Introduction to embedded systems” with the code “CSC462” and Three credit hours , It has a prerequisite : “Microprocessor and assembly language” with the code “CSC324” and Three credit hours.

"
what is the  prerequisite and code Robotics?,"The course “Robotics” with the code “CSC431” and Three credit hours , It has a prerequisite : “Artificial intelligence” with the code “CSC301” and Three credit hours.

"
what is the  prerequisite and code Logic programming?,"The course “Logic programming” with the code “CSC344” and Three credit hours , It has a prerequisite : “Object oriented programming” with the code “CSC142” and Three credit hours.

"
what is the  prerequisite and code Parallel programming?,"The course “Parallel programming” with the code “CSC345” and Three credit hours , It has a prerequisite : “Design and analysis of algorithms” with the code “CSC213” and Three credit hours."
what is the  prerequisite and code Web programming?,"The course “Web programming” with the code “CSC446” and Three credit hours , It has a prerequisite : “Structured programming” with the code “CSC141” and Three credit hours.

"
what is the  prerequisite and code Mobile application development?,"The course “Mobile application development” with the code “CSC347” and Three credit hours , It has a prerequisite : “Object oriented programming” with the code “CSC142” and Three credit hours."
what is the  prerequisite and code Distributed computing?,"The course “Distributed computing” with the code “CSC461” and Three credit hours , It has a prerequisite : “Operating systems” with the code “CSC323” and Three credit hours.
"
what is the  prerequisite and code Software project management?,"The course “Software project management” with the code “CSC421” and Three credit hours , It has a prerequisite : “System analysis and design (1)” with the code “CSC232” and Three credit hours.

"
what is the  prerequisite and code Open source system development?,"The course “Open source system development” with the code “CSC448” and Three credit hours , It has a prerequisite : “Object oriented programming” with the code “CSC142” and Three credit hours"
what is the  prerequisite and code Selected topics in computer science (1)?,"The course “Selected topics in computer science (1)” with the code “CSC302” and Three credit hours and doesn’t have any prerequisite.
"
what is the  prerequisite and code Selected topics in computer science (2)?,"The course “Selected topics in computer science (2)” with the code “CSC403” and Three credit hours and doesn’t have any prerequisite.

"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
